ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score
710,"Swift Performance",,product,external,0,39.99,,"Wordpress Plugins>Caching Plugin","Swte Plugins",12
716,"Divi Theme",,product,external,0,89,,"Wordpress Themes>Multipurpose","Elegant Themes",
1522,"WPastra Theme",,product,external,0,59,47,"Wordpress Themes>Multipurpose","Brainstorm Force",
2920,WPForms,,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups",WPForms,12
2923,"Ninja Forms",,product,external,0,99,49,"Wordpress Plugins>Forms &amp; Popups","Saturday Drive",12
2924,"Gravity forms",,product,external,0,59,,"Wordpress Plugins>Forms &amp; Popups",Rocketgenius,18
2925,"Formidable Forms",,product,external,0,99.38,,"Wordpress Plugins>Forms &amp; Popups",Startegy11,12
2926,"Frontend Publishing Pro",,product,external,0,30,,"Wordpress Plugins>Forms &amp; Popups",Khaxan,12
2930,"Envira Gallery",,product,external,0,19,,"Wordpress Plugins>Carousel &amp; Gallery","Envira Gallery",15
2932,Quform,,product,external,0,29,,"Uncategorized Reviews","Theme Catcher",81
2934,"Super Forms",,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups","Feeling 4 Design",12
2936,ARForms,,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups",Reputeinfosystems,12
2938,"NEX forms",,product,external,0,39,19,"Wordpress Plugins>Forms &amp; Popups",Basix,15
2940,Eform,,product,external,0,39,19,"Wordpress Plugins>Forms &amp; Popups",WPQuark,15
2942,FormCraft,,product,external,0,36,,"Wordpress Plugins>Forms &amp; Popups",,79
2944,WonderPlugin,,product,external,0,99,,"Wordpress Plugins>Carousel &amp; Gallery","Magic Hills Pty Ltd",11
2946,"Foo Gallery",,product,external,0,,,"Wordpress Plugins>Carousel &amp; Gallery",,11
2948,"NextGEN Gallery",,product,external,0,99,,"Wordpress Plugins>Carousel &amp; Gallery",,11
2950,"Justified Image Grid",,product,external,0,27,,"Wordpress Plugins>Carousel &amp; Gallery",,68
2952,"Awesome Gallery",,product,external,0,26,,"Wordpress Plugins>Carousel &amp; Gallery",,12
2954,"Ultimate Membership Pro",,product,external,0,49,24,"Wordpress Plugins>Membership",,12
2956,"All In One SEO",,product,external,0,79,57,"Wordpress Plugins>SEO Plugin",,11
2958,"Restrict Content Pro",,product,external,0,69,,"Wordpress Plugins>Membership",,12
2960,"SEO by Squirrly",,product,external,0,20,,"Wordpress Plugins>SEO Plugin",,64
2962,"User Pro",,product,external,0,39,,"Wordpress Plugins>Membership",,11
2964,"Keyword Tool",,product,external,0,,,"Wordpress Plugins>SEO Plugin",,11
2966,"Visual Composer",,product,external,0,49,34,"Wordpress Plugins>Page Builder",,11
2968,Cornerstone,,product,external,0,19,,"Wordpress Themes>Page Builder",,11
2972,"Site Origin",,product,external,0,29,,"Wordpress Plugins",,15
2974,"Beaver Builder",,product,external,0,99,,"Wordpress Plugins>Page Builder",,12
2976,"Paid Membership Pro",,product,external,0,97,,"Wordpress Plugins>Membership",,12
2980,"AccessPress Anonymous Post Pro",,product,external,0,29,,"Wordpress Plugins>Affiliate",,13
2982,SEMrush,,product,external,0,99,,"Wordpress Plugins>SEO Plugin",,12
2984,"S2 Member Pro",,product,external,0,89,,"Wordpress Plugins>Membership",,11
2986,"Slider Revolution",,product,external,0,25,,"Wordpress Plugins>Carousel &amp; Gallery",,12
2988,LayerSlider,,product,external,0,25,,"Wordpress Plugins>Carousel &amp; Gallery",,12
2990,Soliloquy,,product,external,0,19,,"Wordpress Plugins>Carousel &amp; Gallery",,15
2992,"Meta Slider",,product,external,0,39,,"Wordpress Plugins>Carousel &amp; Gallery","Meta Slider",12
2993,"Ithemes Security Pro",,product,external,0,80,,"Wordpress Plugins>Security Plugin",,13
2995,"Wonder Slider",,product,external,0,99,,"Wordpress Plugins>Carousel &amp; Gallery",,12
2997,Superfly,,product,external,0,29,14,"Wordpress Plugins>Page Builder",,15
2999,"Easy Social Share Button",,product,external,0,22,,"Wordpress Plugins>Social Network &amp; Translation",,12
3001,Wordfence,,product,external,0,8.25,,"Wordpress Plugins>Security Plugin",,9
3003,Monarch,,product,external,0,69,,"Wordpress Plugins>Social Network &amp; Translation",,11
3005,"Shield WordPress Security",,product,external,0,1,,"Wordpress Plugins>Security Plugin",,12
3007,Bookly,,product,external,0,89,,"Wordpress Plugins>Calendar",,15
3009,"Flow Flow",,product,external,0,39,,"Wordpress Plugins>Social Network &amp; Translation",,15
3011,Booki,,product,external,0,29,,"Wordpress Plugins>Calendar",,15
3013,"Social Media Feather",,product,external,0,9.99,,"Wordpress Plugins>Social Network &amp; Translation",,
3015,"Layered Popups",,product,external,0,24,,"Wordpress Plugins>Forms &amp; Popups",,
