ID,Title,Brand,"Product Type",Sku,"Parent Product ID","Product Active Installations","Product Addons","Product Author","Product Ease of use","Product Founder","Product Last Updated","Product Licensing Type","Product Marketplace","Product Niche","Product Pricing options","Product Review Date","Product Site Usage","Product Support Duration","Product Support type","Product Team Size","Product Wordpress Compatibility"
1336,SaaSmantra,"Software Deals Platform",external,,0,,,,,,,,,"Online Marketing",,02-07-2020,,,,7,
2944,WonderPlugin,"Magic Hills Pty Ltd",external,,0,5000,None,"Magic Hills Pty Ltd",Easy,,"3 Months ago",GPL,"Own Site",,"Annual subscription",25-11-2020,"Single site","12 months",,Default,Latest
2946,"Foo Gallery",,external,,0,1000000,Default,,Easy,,Default,Default,Default,,Free,Default,Default,Community-Free,,Default,Default
2948,"NextGEN Gallery",,external,,0,16014678,Default,,~,,Default,Default,Default,,"Annual subscription",Default,Default,"12 months",,Default,Default
2950,"Justified Image Grid",,external,,0,10000000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
2952,"Awesome Gallery",,external,,0,100000,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
2954,"Ultimate Membership Pro",,external,,0,5800,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
2958,"Restrict Content Pro",,external,,0,5000,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"12 months",,Default,Default
2960,"SEO by Squirrly",,external,,0,2500000,Default,,Easy,,Default,Default,Default,,"Monthly payment",Default,Default,"6 months",,Default,Default
2962,"User Pro",,external,,0,14889,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
2964,"Keyword Tool",,external,,0,4500000,Default,,Easy,,Default,Default,Default,,Free,Default,Default,"Life time",,Default,Default
2966,"Visual Composer",,external,,0,238285,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
2968,Cornerstone,,external,,0,100000,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
2970,Divi,,external,,0,20000,Default,,Easy,,Default,Default,Default,,Free,Default,Default,Community-Free,,Default,Default
2972,"Site Origin",,external,,0,200000,Default,,Easy,,Default,Default,Default,,Free,Default,Default,Community-Free,,Default,Default
2974,"Beaver Builder",,external,,0,250000,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"12 months",,Default,Default
2976,"Paid Membership Pro",,external,,0,2000000,Default,,~,,Default,Default,Default,,"Annual subscription",Default,Default,"Life time",,Default,Default
2980,"AccessPress Anonymous Post Pro",,external,,0,3000000,Default,,Advanced,,Default,Default,Default,,"Monthly payment",Default,Default,"6 months",,Default,Default
2982,SEMrush,,external,,0,1000000,Default,,~,,Default,Default,Default,,"Annual subscription",Default,Default,"12 months",,Default,Default
2984,"S2 Member Pro",,external,,0,300000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"Life time",,Default,Default
2990,Soliloquy,,external,,0,900000,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"12 months",,Default,Default
2997,Superfly,,external,,0,2000000,Default,,Easy,,Default,Default,Default,,"Monthly payment",Default,Default,"6 months",,Default,Default
2999,"Easy Social Share Button",,external,,0,18715,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3007,Bookly,,external,,0,11905,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3009,"Flow Flow",,external,,0,200000,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3011,Booki,,external,,0,1854,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3013,"Social Media Feather",,external,,0,200000,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3017,"Social share buttons - social pug",,external,,0,20000000,Default,,~,,Default,Default,Default,,"Annual subscription",Default,Default,"12 months",,Default,Default
3019,Realtyna,,external,,0,2000000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"12 months",,Default,Default
3023,Booked,,external,,0,200000,Default,,~,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3027,"Awesome Live Chat",,external,,0,389,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3029,"WP Simple Booking calendar",,external,,0,200000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"12 months",,Default,Default
3031,"Chat X",,external,,0,3067,Default,,~,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3033,"Web 2.0 Directory",,external,,0,3967,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3035,EventOn,,external,,0,200000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3037,"Real Estate Pro",,external,,0,2000000,Default,,Advanced,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3041,"WP Express Popup",,external,,0,20000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3043,Estatik,,external,,0,13582,Default,,~,,Default,Default,Default,,"Annual subscription",Default,Default,"12 months",,Default,Default
3045,"Easy Property Listing",,external,,0,82231,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"12 months",,Default,Default
3047,"WordPress Live Chat Plugin",,external,,0,456456,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3049,"WP Flat Visual Chat",,external,,0,200000,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3051,Templatera,,external,,0,6988,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3053,"Interactive World Maps",,external,,0,9810,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3055,"WooCommerce Single Product Page Builder",,external,,0,3696,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3057,"Visual Composer Clipboard",,external,,0,20000,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3059,"Ultimate Addons for Visual Composer",,external,,0,100000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3061,"Visual Composer Extensions Addon",,external,,0,100000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3063,"4k Icon Fonts for Visual Composer",,external,,0,1263,Default,,Easy,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3065,"Ultimate Tweaker",,external,,0,939,Default,,~,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3071,"Visual Composer Extensions Addon All in One",,external,,0,200000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3073,"Easy Tables",,external,,0,20000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3075,Javo,,external,,0,4715,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3077,"Massive Addons for Visual Composer",,external,,0,20000,Default,,Advanced,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3079,"DHVC form",,external,,0,20000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3081,"Woocommerce Products Layouts",,external,,0,200000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3085,"Anti-spam Pro",,external,,0,20000,Default,,Advanced,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3087,"W3 Total Cache",,external,,0,20000,Default,,Easy,,Default,Default,Default,,Free,Default,Default,"12 months",,Default,Default
3091,"Comet Cache",,external,,0,200000,Default,,Advanced,,Default,Default,Default,,"One-time payment",Default,Default,"12 months",,Default,Default
3093,"test img upload",,external,,0,,Default,,"Select ...",,Default,Default,Default,,"Select ...",Default,Default,"Select ...",,Default,Default
3095,"Anti-spam Bee",,external,,0,100000,Default,,Easy,,Default,Default,Default,,Free,Default,Default,Community-Free,,Default,Default
3097,WP-SpamShield,,external,,0,10000,Default,,Easy,,Default,Default,Default,,Free,Default,Default,"Life time",,Default,Default
3099,CleanTalk,,external,,0,200000,Default,,~,,Default,Default,Default,,"Annual subscription",Default,Default,"12 months",,Default,Default
3101,WPBruiser,,external,,0,100000,Default,,Easy,,Default,Default,Default,,Free,Default,Default,Community-Free,,Default,Default
3103,"WP Cerber",,external,,0,200000000,Default,,Easy,,Default,Default,Default,,Free,Default,Default,Community-Free,,Default,Default
3105,"WordPress, BuddyPress Users Chat Plugin",,external,,0,1000000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3107,"WooCommerce Amazon Affiliates",,external,,0,100000,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3109,"Table Rate Shipping",,external,,0,1000000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3111,Woof,,external,,0,100000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3113,"WooCommerce Extra Product Options",,external,,0,200000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3117,"WooCommerce Dynamic Pricing and Discounts",,external,,0,100000,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3119,"Hide My WP",,external,,0,20000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3121,"Testimonials Showcase",,external,,0,100000,Default,,Advanced,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3123,Reviewer,,external,,0,1000000,Default,,Advanced,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3125,"Let's Review",,external,,0,10000,Default,,Advanced,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3127,Taqyeem,,external,,0,10000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3129,"Rating Form",,external,,0,10000,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3131,"Sidebar Widget Manager",,external,,0,100000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3135,"Widget Ninja",,external,,0,1000000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3137,"Popping Sidebars and Widgets",,external,,0,200000,Default,,Advanced,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3139,"5sec Google Maps Pro",,external,,0,100000,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3141,"Responsive Google Maps",,external,,0,200000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3143,"Hero Maps Premium",,external,,0,100000,Default,,Advanced,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3145,"Interactive World Maps",,external,,0,100000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3147,UberMenu,,external,,0,100000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3149,"Hero Menu",,external,,0,10000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3151,"Ajax Translator Revolution",,external,,0,1000000,Default,,Advanced,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3153,"Smart Image Compressor",,external,,0,200000,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3155,"The Grid",,external,,0,4268,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3157,"Instagram Feed",,external,,0,5353,Default,,~,,Default,Default,Default,,"Annual subscription",Default,Default,"6 months",,Default,Default
3159,"Elite Video Player",,external,,0,909,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3161,"Wordpress Automatic Plugin",,external,,0,7021,Default,,~,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3163,Scrapes,,external,,0,988,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3165,"Responsive flipbook",,external,,0,7769,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
3167,"Ajax Search Pro",,external,,0,5739,Default,,Easy,,Default,Default,Default,,"One-time payment",Default,Default,"6 months",,Default,Default
