ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand
710,"Swift Performance",,product,external,0,39.99,,"Wordpress Plugins>Caching Plugin","Swte Plugins"
716,"Divi Theme",,product,external,0,89,,"Wordpress Themes>Multipurpose","Elegant Themes"
1522,"WPastra Theme",,product,external,0,59,47,"Wordpress Themes>Multipurpose","Brainstorm Force"
2920,WPForms,,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups",WPForms
2923,"Ninja Forms",,product,external,0,99,49,"Wordpress Plugins>Forms &amp; Popups","Saturday Drive"
2924,"Gravity forms",,product,external,0,59,,"Wordpress Plugins>Forms &amp; Popups",Rocketgenius
2925,"Formidable Forms",,product,external,0,99.38,,"Wordpress Plugins>Forms &amp; Popups",Startegy11
2926,"Frontend Publishing Pro",,product,external,0,30,,"Wordpress Plugins>Forms &amp; Popups",Khaxan
2930,"Envira Gallery",,product,external,0,19,,"Wordpress Plugins>Carousel &amp; Gallery","Envira Gallery"
2932,Quform,,product,external,0,29,,"Uncategorized Reviews","Theme Catcher"
2934,"Super Forms",,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups","Feeling 4 Design"
2936,ARForms,,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups",Reputeinfosystems
2938,"NEX forms",,product,external,0,39,19,"Wordpress Plugins>Forms &amp; Popups",Basix
2940,Eform,,product,external,0,39,19,"Wordpress Plugins>Forms &amp; Popups",WPQuark
2942,FormCraft,,product,external,0,36,,"Wordpress Plugins>Forms &amp; Popups",
2944,WonderPlugin,,product,external,0,99,,"Wordpress Plugins>Carousel &amp; Gallery","Magic Hills Pty Ltd"
2946,"Foo Gallery",,product,external,0,,,"Wordpress Plugins>Carousel &amp; Gallery",
2948,"NextGEN Gallery",,product,external,0,99,,"Wordpress Plugins>Carousel &amp; Gallery",
2950,"Justified Image Grid",,product,external,0,27,,"Wordpress Plugins>Carousel &amp; Gallery",
2952,"Awesome Gallery",,product,external,0,26,,"Wordpress Plugins>Carousel &amp; Gallery",
2954,"Ultimate Membership Pro",,product,external,0,49,24,"Wordpress Plugins>Membership",
2956,"All In One SEO",,product,external,0,79,57,"Wordpress Plugins>SEO Plugin",
2958,"Restrict Content Pro",,product,external,0,69,,"Wordpress Plugins>Membership",
2960,"SEO by Squirrly",,product,external,0,20,,"Uncategorized Reviews",
2962,"User Pro",,product,external,0,39,,"Wordpress Plugins>Membership",
2964,"Keyword Tool",,product,external,0,,,"Wordpress Plugins>SEO Plugin",
2966,"Visual Composer",,product,external,0,49,34,"Wordpress Plugins>Page Builder",
2968,Cornerstone,,product,external,0,19,,"Wordpress Themes>Page Builder",
2972,"Site Origin",,product,external,0,29,,"Wordpress Plugins>Page Builder|Wordpress Themes>Page Builder",
2974,"Beaver Builder",,product,external,0,99,,"Wordpress Plugins>Page Builder",
2976,"Paid Membership Pro",,product,external,0,97,,"Wordpress Plugins>Membership",
2980,"AccessPress Anonymous Post Pro",,product,external,0,29,,"Wordpress Plugins>Affiliate",
2982,SEMrush,,product,external,0,99,,"Wordpress Plugins>SEO Plugin",
2984,"S2 Member Pro",,product,external,0,89,,"Wordpress Plugins>Membership",
2986,"Slider Revolution",,product,external,0,25,,"Wordpress Plugins>Carousel &amp; Gallery",
2988,LayerSlider,,product,external,0,25,,"Wordpress Plugins>Carousel &amp; Gallery",
2990,Soliloquy,,product,external,0,19,,"Wordpress Plugins>Carousel &amp; Gallery",
2992,"Meta Slider",,product,external,0,39,,"Wordpress Plugins>Carousel &amp; Gallery","Meta Slider"
2993,"Ithemes Security Pro",,product,external,0,80,,"Wordpress Plugins>Security Plugin",
2995,"Wonder Slider",,product,external,0,99,,"Wordpress Plugins>Carousel &amp; Gallery",
2997,Superfly,,product,external,0,29,14,"Wordpress Plugins>Page Builder",
2999,"Easy Social Share Button",,product,external,0,22,,"Wordpress Plugins>Social Network &amp; Translation",
3001,Wordfence,,product,external,0,8.25,,"Wordpress Plugins>Security Plugin",
3003,Monarch,,product,external,0,69,,"Wordpress Plugins>Social Network &amp; Translation",
3005,"Shield WordPress Security",,product,external,0,1,,"Wordpress Plugins>Security Plugin",
3007,Bookly,,product,external,0,89,,"Wordpress Plugins>Calendar",
3009,"Flow Flow",,product,external,0,39,,"Wordpress Plugins>Social Network &amp; Translation",
3011,Booki,,product,external,0,29,,"Wordpress Plugins>Calendar",
3013,"Social Media Feather",,product,external,0,9.99,,"Wordpress Plugins>Social Network &amp; Translation",
3015,"Layered Popups",,product,external,0,24,,"Wordpress Plugins>Forms &amp; Popups",
3017,"Social share buttons - social pug",,product,external,0,24,,"Wordpress Plugins>Social Network &amp; Translation",
3019,Realtyna,,product,external,0,199,,"Wordpress Plugins>Miscellaneous",
3021,ConvertPlus,,product,external,0,24,,"Wordpress Plugins>Forms &amp; Popups",
3023,Booked,,product,external,0,49,,"Wordpress Plugins>Calendar",
3025,"Roots Popups",,product,external,0,17,,"Wordpress Plugins>Forms &amp; Popups",
3027,"Awesome Live Chat",,product,external,0,25,,"Wordpress Plugins>Miscellaneous",
3029,"WP Simple Booking calendar",,product,external,0,29,,"Wordpress Plugins>Miscellaneous",
3031,"Chat X",,product,external,0,25,,"Wordpress Plugins>Miscellaneous",
3033,"Web 2.0 Directory",,product,external,0,39,,"Wordpress Plugins>Miscellaneous",
3035,EventOn,,product,external,0,25,,"Wordpress Plugins>Calendar",
3037,"Real Estate Pro",,product,external,0,39,,"Wordpress Plugins>Miscellaneous",
3039,"Ninja Popups",,product,external,0,27,,"Wordpress Plugins>Forms &amp; Popups",ARScode
3043,Estatik,,product,external,0,45,,"Wordpress Plugins>Miscellaneous",
3045,"Easy Property Listing",,product,external,0,97,,"Wordpress Plugins>Miscellaneous",
3047,"WordPress Live Chat Plugin",,product,external,0,25,,"Wordpress Plugins>Social Network &amp; Translation",
3049,"WP Flat Visual Chat",,product,external,0,29,,"Wordpress Plugins>Social Network &amp; Translation",
3051,Templatera,,product,external,0,13,,"Wordpress Plugins>Page Builder",
3053,"Interactive World Maps",,product,external,0,29,,"Wordpress Plugins>Miscellaneous",
3055,"WooCommerce Single Product Page Builder",,product,external,0,29,,"Wordpress Plugins>Miscellaneous",
