ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score,Permalink,Date,"External Product URL","Button Text"
710,"Swift Performance",,product,external,0,39.99,,"Wordpress Plugins>Caching Plugin","Swte Plugins",12,https://appsfomo.com/reviews/swift-performance/,2018-01-22,https://swiftperformance.io/?ref=75,"Buy Now"
716,"Divi Theme",,product,external,0,89,,"Wordpress Themes>Multipurpose","Elegant Themes",,https://appsfomo.com/reviews/divi-theme/,2018-01-22,https://www.elegantthemes.com/gallery/divi/,"Buy Now"
1522,"WPastra Theme",,product,external,0,59,47,"Wordpress Themes>Multipurpose","Brainstorm Force",,https://appsfomo.com/reviews/wpastra-theme/,2019-12-24,https://wpastra.com/,"Buy Now"
2920,WPForms,,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups",WPForms,12,https://appsfomo.com/reviews/wpforms/,2020-07-10,https://wpforms.com/,"Buy Now"
2954,"Ultimate Membership Pro",,product,external,0,49,24,"Wordpress Plugins>Membership",,12,https://appsfomo.com/reviews/ultimate-membership-pro/,2020-07-29,https://codecanyon.net/item/ultimate-membership-pro-wordpress-plugin/12159253,"Buy Now"
2956,"All In One SEO",,product,external,0,79,57,"Wordpress Plugins>SEO Plugin",,11,https://appsfomo.com/reviews/all-in-one-seo/,2020-07-02,https://wordpress.org/plugins/all-in-one-seo-pack/,"Buy Now"
2958,"Restrict Content Pro",,product,external,0,69,,"Wordpress Plugins>Membership",,12,https://appsfomo.com/reviews/restrict-content-pro/,2020-07-02,https://restrictcontentpro.com/,"Buy Now"
2960,"SEO by Squirrly",,product,external,0,20,,"Wordpress Plugins>SEO Plugin",,64,https://appsfomo.com/reviews/seo-squirrly/,2020-07-06,https://www.squirrly.co/wordpress-seo-by-squirrly,"Buy Now"
2972,"Site Origin",,product,external,0,29,,"Wordpress Plugins",,15,https://appsfomo.com/reviews/site-origin/,2020-07-28,https://siteorigin.com/page-builder/,"Buy Now"
2974,"Beaver Builder",,product,external,0,99,,"Wordpress Plugins>Page Builder",,12,https://appsfomo.com/reviews/beaver-builder/,2020-07-09,https://www.wpbeaverbuilder.com/?utm_expid=82857025-12.lTgZ_x1STniDBYg5MIL3JA.0,"Buy Now"
2982,SEMrush,,product,external,0,99,,"Wordpress Plugins>SEO Plugin",,12,https://appsfomo.com/reviews/semrush/,2020-07-06,https://www.semrush.com/,"Buy Now"
2986,"Slider Revolution",,product,external,0,25,,"Wordpress Plugins>Carousel &amp; Gallery",,12,https://appsfomo.com/reviews/slider-revolution/,2020-07-05,https://1.envato.market/Eaye1X,"Buy Now"
2993,"Ithemes Security Pro",,product,external,0,80,,"Wordpress Plugins>Security Plugin",,13,https://appsfomo.com/reviews/ithemes-security-pro/,2020-07-01,https://ithemes.com/security/,"Buy Now"
3001,Wordfence,,product,external,0,8.25,,"Wordpress Plugins>Security Plugin",,9,https://appsfomo.com/reviews/wordfence/,2020-07-02,https://de.wordpress.org/plugins/wordfence/,"Buy Now"
3067,Akismet,,product,external,0,8.33,,"Wordpress Plugins>Security Plugin",,12,https://appsfomo.com/reviews/akismet/,2020-07-20,https://akismet.com/,"Buy Now"
3069,WPML,,product,external,0,29,,"Wordpress Plugins>Social Network &amp; Translation",,12,https://appsfomo.com/reviews/wpml/,2020-07-22,https://wpml.org/,"Buy Now"
3083,"WP Rocket",,product,external,0,39,,"Wordpress Plugins>Caching Plugin",,12,https://appsfomo.com/reviews/wp-rocket/,2020-07-15,https://wp-rocket.me/,"Buy Now"
3085,"Anti-spam Pro",,product,external,0,26,,"Wordpress Plugins>Security Plugin",,8,https://appsfomo.com/reviews/anti-spam-pro/,2020-07-31,https://codecanyon.net/item/antispam-pro/6491169?ref=webvitalii,"Buy Now"
3087,"W3 Total Cache",,product,external,0,99,,"Wordpress Plugins>Caching Plugin",,11,https://appsfomo.com/reviews/w3-total-cache/,2020-07-25,https://www.w3-edge.com/products/w3-total-cache,"Buy Now"
3089,"WP Fastest Cache",,product,external,0,49.99,,"Wordpress Plugins>Caching Plugin",,12,https://appsfomo.com/reviews/wp-fastest-cache/,2020-07-22,https://www.wpfastestcache.com/,"Buy Now"
3103,"WP Cerber",,product,external,0,99,,"Wordpress Plugins>Security Plugin",,15,https://appsfomo.com/reviews/wp-cerber/,2020-07-10,https://wpcerber.com/,"Buy Now"
3111,Woof,,product,external,0,39,19,"Wordpress Plugins>E-commerce",,11,https://appsfomo.com/reviews/woof/,2020-07-16,https://codecanyon.net/item/woof-woocommerce-products-filter/11498469?s_rank=224,"Buy Now"
3119,"Hide My WP",,product,external,0,24,,"Wordpress Plugins>Security Plugin",,,https://appsfomo.com/reviews/hide-my-wp/,2020-07-27,https://codecanyon.net/item/hide-my-wp-amazing-security-plugin-for-wordpress/4177158,"Buy Now"
