Title,_review_post_score_manual,rehub_review_overall_score,rehub_review_editor_score,rank_math_seo_score,_review_score_criteria_1,_review_score_criteria_2,_review_score_criteria_3,_review_score_criteria_4,_review_score_criteria_5
"Swift Performance",0,,,12,,,,,
"Divi Theme",0,,,,,,,,
"WPastra Theme",9.5,9.5,,,,,,,
WPForms,0,,,12,,,,,
"Ultimate Membership Pro",0,,,12,,,,,
"All In One SEO",0,,,11,,,,,
"Restrict Content Pro",0,,,12,,,,,
"SEO by Squirrly",0,,,64,,,,,
"Site Origin",0,,,15,,,,,
"Beaver Builder",0,,,12,,,,,
SEMrush,0,,,12,,,,,
"Slider Revolution",0,,,12,,,,,
"Ithemes Security Pro",0,,,13,,,,,
Wordfence,0,,,9,,,,,
Akismet,0,,,12,,,,,
WPML,0,,,12,,,,,
"WP Rocket",0,,,12,,,,,
"Anti-spam Pro",0,,,8,,,,,
"W3 Total Cache",0,,,11,,,,,
"WP Fastest Cache",0,,,12,,,,,
"WP Cerber",0,,,15,,,,,
Woof,0,,,11,,,,,
"Hide My WP",0,,,,,,,,
Scrapes,0,,,,,,,,
"Ajax Search Pro",0,,,,,,,,
"WP Data Tables",0,,,12,,,,,
"Content Egg",0,,,13,,,,,
"WordPress Real Media Library",0,,,61,,,,,
"Yellow Pencil",0,,,11,,,,,
Mailster,0,,,11,,,,,
"Theme X",0,,,,,,,,
Newspaper,0,,,,,,,,
The7,0,,,,,,,,
Jupiter,0,,,,,,,,
Publisher,0,,,,,,,,
Rehub,0,,,,,,,,
Eduma,0,,,,,,,,
Enfold,0,,,,,,,,
"Be Theme",0,,,,,,,,
"WYZI- Business Finder",0,,,,,,,,
Woffice,0,,,15,,,,,
WPLMS,0,,,11,,,,,
EducationPress,0,,,12,,,,,
Oxygen,0,,,12,,,,,
Thrive,0,,,,,,,,
Bellevue,0,,,11,,,,,
Avada,0,,,12,,,,,
"Yoast SEO",0,,,15,,,,,
Cloudflare,9.6,9.6,9.6,82,,,,,
cPanel,0,,,77,,,,,
