ID,Title,Permalink,Categories,"Affiliate Store",rehub_offer_product_url
1926,picjumbo,https://appsfomo.com/picjumbo/,"Image &amp; Video Editing",Stacksocial,https://stacksocial.com/sales/picjumbo-designer-plan-lifetime-subscription?aid=a-j0gmt06o
3685,Eventee,https://appsfomo.com/eventee/,Productivity,AppSumo,https://appsumo.com/eventee/
4944,"Coming Soon & Maintenance Mode",https://appsfomo.com/coming-soon-to-a-site-near-you/,"Web development",AppSumo,https://appsumo.com/coming-soon-maintenance-mode/
5026,Clientjoy,https://appsfomo.com/clientjoy/,"Client Management",AppSumo,https://appsumo.com/clientjoy/
5215,TechTracker,https://appsfomo.com/techtracker/,"Lead Generation","SaaS Mantra",https://saasmantra.com/deals/techtracker
8165,"Missinglettr Curate",https://appsfomo.com/missinglettr-curate/,"Lead Generation|SEO &amp; Marketing",AppSumo,https://appsumo.com/missinglettr-curate/
8205,Iubenda,https://appsfomo.com/iubenda/,"Business Management",AppSumo,https://appsumo.com/iubenda/
9269,Botstar,https://appsfomo.com/botstar/,"Lead Generation|SaaS Software|SEO &amp; Marketing|Support",AppSumo,https://appsumo.com/botstar/
9291,BackupGuard,https://appsfomo.com/backupguard/,"SaaS Software|Web development|Wordpress",AppSumo,https://appsumo.com/backupguard-wordpress-plugin/
9374,EditMate,https://appsfomo.com/editmate/,"Business Management|SaaS Software|SEO &amp; Marketing",AppSumo,https://appsumo.com/editmate/
9460,SyncSpider,https://appsfomo.com/syncspider/,"Business Management|SaaS Software|Sales &amp; E-commerce|SEO &amp; Marketing",AppSumo,https://appsumo.com/syncspider/
9494,"Promo Republic",https://appsfomo.com/promo-republic/,"Business Management|Content Creation|SaaS Software|SEO &amp; Marketing",AppSumo,https://appsumo.com/promorepublic/
9605,"LightKey Pro",https://appsfomo.com/lightkey-pro/,Productivity,Stacksocial,https://stacksocial.com/sales/lightkey-pro-lifetime-subscription/?aid=a-j0gmt06o
