ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score,Permalink,Date,"External Product URL","Button Text","Product Account Type","Product Active Installations","Product Activity log","Product Addon Modules","Product Addons","Product Affiliate Payouts","Product Affiliate Program","Product Affiliate / Referer","Product Affiliate/ Referer system","Product Alexa Ranking","Product Analytics","Product Anti DDos","Product Anti-malware","Product Anti-Phishing","Product Apex","Product Pre Approval of post from members","Product Apps Installation","Product Appsfomo Ratings","Product Author","Product Backup management","Product Bandwidth monitoring","Product Blacklist monitoring","Product Cache Control","Product CDN","Product Cloud Backups","Product Company Name","Product Compatible with","Product Competitor","Product Computing","Product Content Generation","Product Content Modification","Product Control panel","Product Corn Jobs","Product Corporate Registered Country","Product Country","Product Created in","Product Cross-platform hosting","Product Daily Backups","Product Database Management","Product Deal Submission","Product Dedicated hosting","Product Demo Templates","Product Design and Themes","Product Disk Space","Product DNS","Product DNS Management","Product Documentation","Product Documentation and Changelog","Product Dynamic Content delivery","Product E-commerce Hosting","Product E-commerce Relevant","Product eCommerce Support","Product Ease of use","Product Email accounts","Product Email Management","Product Email Storage","Product Encrypted storage","Product End-user Portal Features","Product File Access","Product File manager","Product Firewall","Product Firewall Management","Product Founder","Product Founder/CEO","Product Framework","Product Free Backups","Product Free Domain","Product Free Giveaway","Product Free Giveaways","Product Free Trail","Product Free Version","Product Freebies","Product FTP Management","Product FTP, SFTP and SSH","Product Grammar checker","Product Group Rules","Product Hosting Companies","Product Hotlink Protection","Product HTTP/2","Product Ideal for","Product Image optimization","Product Initial Release","Product Instant Setup","Product Integrations","Product IP denials","Product IPv6","Product Key Features","Product Large file delivery","Product Last Updated","Product Launch","Product Licensing","Product Licensing Type","Product Lifetime Deal Offered","Product Live Seminar Hosting","Product Live Video","Product Log Files","Product LTD Platform","Product Main Admin","Product Malicious Protection","Product Managing user accounts","Product Marketing Tools","Product Marketplace","Product Migration","Product Mobile app","Product Mobile Responsive","Product Money-Back Guarantee","Product Monthly Page views","Product Monthly Revenue (Approx.)","Product Multi lang support","Product Multitask support","Product Network Attack Protection","Product Niche","Product Number of admins","Product Offers range","Product One click demo","Product Origin Pull","Product Origin Shield","Product Other products","Product Other Sub Groups","Product Page Builder","Product Page load time","Product Parked Domain","Product Password protected","Product Payment Gateways","Product Payment Options","Product Performance Impact","Product Performance optimization","Product Performance Tracking","Product PHP compatibility","Product PHP version","Product Plagiarism checker","Product Platform","Product Plugin Extensions","Product Plugins and Integrations","Product Plugins included","Product Price","Product Price Tier","Product Pricing options","Product Pricing plan","Product Privacy","Product Private CDN","Product Purge","Product Push/Upload","Product Ransomware protection","Product Ratings","Product Refund Criteria","Product Refund Policies","Product Region","Product Registered Company","Product Release date","Product Review Date","Product Reviews","Product Sales Features","Product Security","Product SEO","Product server location","Product Server monitoring","Product Services included","Product Shared Hosting","Product Site Usage","Product Small file delivery","Product Social Media Presence","Product Social Media Presence","Product Spam protection","Product Spinning","Product SSH access","Product SSL and HTTP/2","Product SSL management","Product SSL monitoring","Product Staging Site","Product Storage Limit","Product Sub domain","Product Subscription Type","Product Support","Product Support Duration","Product Support System","Product Support type","Product Supported Device","Product Supported Page Builders","Product Sync Options","Product System impact","Product Team Size","Product Technical Support","Product Tested upto","Product Token Authentication","Product Total Members","Product Type","Product UI & UX Score","Product Unique Theme Features","Product Updates","Product Upgrade Option","Product Uptime","Product Usage Restrictions","Product User limit","Product Version","Product Video on demand","Product Virtualization","Product VPN hosting","Product VPS","Product Vulnerability Protection","Product Web Application Firewall","Product Website Builder","Product Website Launch Date","Product Website Migration","Product Website monitoring","Product Website Protection from","Product Website Worth (Aprox.)","Product Wordpress Compatibility","Product Wordpress integration","Product Wordpress Version"
710,"Swift Performance",,product,external,0,39.99,,"Wordpress Plugins>Caching Plugin","Swte Plugins",12,https://appsfomo.com/reviews/swift-performance/,2018-01-22,https://swiftperformance.io/?ref=75,"Buy Now",,20k+,,,None,,,,,,,,,,,,,,"SWTE Plugins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SWTE Plugins",,,,,,,,,,,,,,,,,,,,,,,,,"1 month ago",,,GPL,,,,,,,,,,"Own Site",,,,,,,,,,"Caching and Optimization",,,,,,,,,,,,,,,,,,,,,None,,,,,Yearly,,,,,,,,,,,,,03-10-2020,,,,,,,,,"4 Sites|Single site|Unlimited",,,,,,,,,,,,,,,Yearly,"Email|Facebook Groups|Forum",,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Latest,,
716,"Divi Theme",,product,external,0,89,,"Wordpress Themes>Multipurpose","Elegant Themes",,https://appsfomo.com/reviews/divi-theme/,2018-01-22,https://www.elegantthemes.com/gallery/divi/,"Buy Now",,"1.5 M",,,,,,,,,,,,,,,,,,,,,,,,,,Astra|Avada,,,,,,,,,,,,,,110+,,,,,,,,,,EDD|WooCommerce,,,,,,,,,,,,"Nick Roach",,,,,,,,,,,,,,,,,,,,,,,,,,,,GPL,,,,,,,,,,"Own Site",,,Full,,,,WPML,,,Modern,,,Yes,,,Bloom|Extra|Monarch,,,,,,,,,,,,,,,,,"Divi Builder",,,Lifetime|Yearly,,,,,,,,"30 Days",,,,,01-07-2020,,,,,,,,,Unlimited,,,,,,,,,,,,,,,Lifetime|Yearly,"Email|Forum|Live chat",,,"Divi Builder",,,90+,,,,,,,"Live page builder",,,,,,,,,,,,,,,,,,,Latest,,
1522,"WPastra Theme",,product,external,0,59,47,"Wordpress Themes>Multipurpose","Brainstorm Force",,https://appsfomo.com/reviews/wpastra-theme/,2019-12-24,https://wpastra.com/,"Buy Now",,1000k+,,,,,,,,,,,,,,,,,"Brainstrom Force",,,,,,,,,Generatepress|Genesis|OceanWP,,,,,,,,,,,,,,121,,,,,,,,,,EDD|WooCommerce,,,,,,,,,,,,"Brainstorm Force",,,,,,,,,,,,,,,,,,,,,,,,,,,,GPL,,,,,,,,,,"Own Site",,,Full,,,,WPML,,,Modern,,,Yes,,,"Convert Pro|Schema Pro|Ultimate Addons for Beaver Builder|Ultimate Addons for Elementor|WP Portfolio",,,,,,,,,,,,,,,,,"Starter Templates",,,Lifetime|Yearly,,,,,,,,,,,,,29-06-2020,,,,,,,,,Unlimited,,,,,,,,,,,,,,,Lifetime|Yearly,"Email|Forum|Support tickets",,,Beaver|Brizy|Elementor|Gutenberg,,,30+,,,,,,,"120+ Demo Layouts|Light weight",,,,,,,,,,,,,,,,,,,Latest,,
2920,WPForms,,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups",WPForms,12,https://appsfomo.com/reviews/wpforms/,2020-07-10,https://wpforms.com/,"Buy Now",,,,,"10+ Addons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy,,,,,,,,,,,"Syed Balkhi",,,,,,,,,,,,,,,,,,,,,,,,,"1 month ago",,,GPL,,,,,,,,,,"Own Site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Payment Gateways",,,,,"Annual subscription",,,,,,,,,,,,,12-10-2020,,,,,,,,,"Single site|Unlimited",,,,,,,,,,,,,,,"12 months","Support tickets",,,,,,10+,,,,,,,,,,,,,,,,,,,,,,,,,,Latest,,
2954,"Ultimate Membership Pro",,product,external,0,49,24,"Wordpress Plugins>Membership",,12,https://appsfomo.com/reviews/ultimate-membership-pro/,2020-07-29,https://codecanyon.net/item/ultimate-membership-pro-wordpress-plugin/12159253,"Buy Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2956,"All In One SEO",,product,external,0,79,57,"Wordpress Plugins>SEO Plugin",,11,https://appsfomo.com/reviews/all-in-one-seo/,2020-07-02,https://wordpress.org/plugins/all-in-one-seo-pack/,"Buy Now",,20000000,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy,,,,,,,,,,,"Michael Torbert",,,,,,,,,,,,,,,,,,,,,,,,,"1 month ago",,,GPL,,,,,,,,,,"Own Site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,"Annual subscription|Free",,,,,,,,,,,,,07-11-2020,,,,,,,,,"10 Sites|Single site|Unlimited",,,,,,,,,,,,,,,"Community-Free|Life time",Comunity,,,,,,10+|Default,,,,,,,,,,,,,,,,,,,,,,,,,,Latest,,
2958,"Restrict Content Pro",,product,external,0,69,,"Wordpress Plugins>Membership",,12,https://appsfomo.com/reviews/restrict-content-pro/,2020-07-02,https://restrictcontentpro.com/,"Buy Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2960,"SEO by Squirrly",,product,external,0,20,,"Wordpress Plugins>SEO Plugin",,64,https://appsfomo.com/reviews/seo-squirrly/,2020-07-06,https://www.squirrly.co/wordpress-seo-by-squirrly,"Buy Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972,"Site Origin",,product,external,0,29,,"Wordpress Plugins",,15,https://appsfomo.com/reviews/site-origin/,2020-07-28,https://siteorigin.com/page-builder/,"Buy Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Page Builder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2974,"Beaver Builder",,product,external,0,99,,"Wordpress Plugins>Page Builder",,12,https://appsfomo.com/reviews/beaver-builder/,2020-07-09,https://www.wpbeaverbuilder.com/?utm_expid=82857025-12.lTgZ_x1STniDBYg5MIL3JA.0,"Buy Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Page Builder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
