id,Title,"Affiliate Store",Expired,re_post_expired,rehub_offer_product_url
1926,picjumbo,Stacksocial,yes,1,https://stacksocial.com/sales/picjumbo-designer-plan-lifetime-subscription?aid=a-j0gmt06o
3685,Eventee,AppSumo,yes,1,https://appsumo.com/eventee/
4944,"Coming Soon & Maintenance Mode",AppSumo,,0,shop.appsfomo.com/p/fPwp/r
5026,Clientjoy,AppSumo,,0,shop.appsfomo.com/p/TuZY/r
5215,TechTracker,"SaaS Mantra",,0,https://saasmantra.com/deals/techtracker
8165,"Missinglettr Curate",AppSumo,yes,1,https://appsumo.com/missinglettr-curate/
8205,Iubenda,AppSumo,yes,1,https://appsumo.com/iubenda/
9269,Botstar,AppSumo,yes,1,https://appsumo.com/botstar/
9291,BackupGuard,AppSumo,yes,1,https://appsumo.com/backupguard-wordpress-plugin/
9374,EditMate,AppSumo,yes,1,https://appsumo.com/editmate/
9460,SyncSpider,AppSumo,yes,1,https://appsumo.com/syncspider/
9494,"Promo Republic",AppSumo,yes,1,https://appsumo.com/promorepublic/
9605,"LightKey Pro",Stacksocial,,0,https://stacksocial.com/sales/lightkey-pro-lifetime-subscription/?aid=a-j0gmt06o
9642,Optinly,AppSumo,,0,shop.appsfomo.com/p/0Haj/r
9677,Labiknow,Dealify,,0,https://www.dealify.com/labiknow/?deal=stellar
9706,Listnr,Dealify,,0,https://www.dealify.com/listnr/?deal=stellar
9736,"Warm Welcome",AppSumo,yes,1,https://appsumo.com/warmwelcome/
10444,Way,Stacksocial,,0,https://stacksocial.com/sales/way-pro-no-code-landing-page-builder-lifetime-subscription/?aid=a-j0gmt06o
10446,TruConversion,AppSumo,,0,shop.appsfomo.com/p/zO2O/r
10447,piZap,Stacksocial,,0,https://stacksocial.com/sales/pizap-pro-lifetime-subscription?aid=a-j0gmt06o
10471,Noci,Dealify,,0,https://www.dealify.com/noci/?deal=stellar
