id,Title,Affiliate Store,re_post_expired,rehub_offer_product_url,Status
3685,Eventee,AppSumo,1,https://appsumo.com/eventee/,Expired
4944,Coming Soon & Maintenance Mode,AppSumo,0,https://appsumo.com/coming-soon-maintenance-mode/,Live
5026,Clientjoy,AppSumo,0,https://appsumo.com/clientjoy/,Live
8165,Missinglettr Curate,AppSumo,1,https://appsumo.com/missinglettr-curate/,Expired
8205,Iubenda,AppSumo,1,https://appsumo.com/iubenda/,Expired
9269,Botstar,AppSumo,1,https://appsumo.com/botstar/,Expired
9291,BackupGuard,AppSumo,1,https://appsumo.com/backupguard-wordpress-plugin/,Expired
9374,EditMate,AppSumo,1,https://appsumo.com/editmate/,Expired
9460,SyncSpider,AppSumo,1,https://appsumo.com/syncspider/,Expired
9494,Promo Republic,AppSumo,1,https://appsumo.com/promorepublic/,Expired
9642,Optinly,AppSumo,0,https://appsumo.com/optinly/,Live
9736,Warm Welcome,AppSumo,1,https://appsumo.com/warmwelcome/,Expired
10446,TruConversion,AppSumo,0,https://appsumo.com/truconversion/,Live
10567,Internxt,AppSumo,1,https://appsumo.com/internxt/,Expired
10596,Botspice,AppSumo,1,https://appsumo.com/marketplace-botspice/,Expired
10804,Beagle,AppSumo,1,https://appsumo.com/beaglesecurity/,Expired
10838,Pushfy,AppSumo,1,https://appsumo.com/marketplace-pushfy-boost-your-conversions-increase-leads-sales-w/,Expired
10890,Instoo,AppSumo,1,https://appsumo.com/instoo/,Expired
10945,Screpy,AppSumo,0,https://appsumo.com/screpy/,Live
11154,bCast,AppSumo,1,https://appsumo.com/bcast/,Expired
11222,AI Kontent,AppSumo,0,https://appsumo.com/marketplace-aikontent/,Live
11695,Encharge,AppSumo,1,https://appsumo.com/encharge/,Expired
11820,1Brand,AppSumo,1,https://appsumo.com/1brand/,Expired
11850,WP Compress,AppSumo,1,https://appsumo.com/wp-compress/,Expired
11978,Squirrly SEO,AppSumo,0,https://appsumo.com/squirrly-seo/,Live
12057,Ashore,AppSumo,1,https://appsumo.com/ashore/,Expired
12067,FeedBear,AppSumo,1,https://appsumo.com/marketplace-feedbear/,Expired
12162,Rytr,AppSumo,1,https://appsumo.com/marketplace-rytr/,Expired
12180,Acadle,AppSumo,1,https://appsumo.com/acadle/,Expired
12338,TexAu,AppSumo,1,https://appsumo.com/texau/,Expired
12430,Invoice Crowd,AppSumo,0,https://appsumo.com/marketplace-invoice-crowd/,Live
12456,Social Champ,AppSumo,1,https://appsumo.com/social-champ/,Expired
12623,Keyword Hero,AppSumo,1,https://appsumo.com/keywordhero/,Expired
12688,ActiveCollab,AppSumo,1,https://appsumo.com/activecollab/,Expired
12730,NeuralText,AppSumo,1,https://appsumo.com/neuraltext/,Expired
12850,Spoke,AppSumo,1,https://appsumo.com/spoke/,Expired
13113,Enerpize,AppSumo,1,https://appsumo.com/enerpize/,Expired
13280,Zen Mind Map,AppSumo,1,https://appsumo.com/marketplace-zen-mind-map/,Expired
13347,Treasure,AppSumo,1,https://appsumo.com/treasure/,Expired
13564,Flowlu,AppSumo,0,https://appsumo.com/flowlu/,Live
14125,ContentBot,AppSumo,1,https://appsumo.com/contentbot/,Expired
14154,AppMySite,AppSumo,0,https://appsumo.com/appmysite/,Live
14258,SendFox,AppSumo,0,https://appsumo.com/sendfox/,Live
14388,Blakify,AppSumo,0,https://appsumo.com/products/marketplace-blakify-ai/,Live
15655,Filmstro Pro,AppSumo,1,https://appsumo.com/products/filmstro/,Expired
15826,Crikle,AppSumo,1,https://appsumo.com/products/crikle/,Expired
15877,Samdock,AppSumo,0,https://appsumo.com/products/marketplace-samdock/,Live
15961,JivoChat,AppSumo,1,https://appsumo.com/products/jivochat/,Expired
16068,ADYOUNEED,AppSumo,1,https://appsumo.com/products/adyouneed/,Expired
16146,Sitejet,AppSumo,1,https://appsumo.com/products/sitejet/,Expired
16160,Frill,AppSumo,1,https://appsumo.com/products/frill/,Expired
16594,Sendinblue,AppSumo,1,https://appsumo.com/products/sendinblue-lifetime/,Expired
16826,Funnelll,AppSumo,1,https://appsumo.com/products/funnelll/,Expired
16841,WP Reset,AppSumo,0,https://appsumo.com/products/wp-reset/,Live
16853,wpDataTables,AppSumo,1,https://appsumo.com/products/wpdatatables/,Expired
16862,EWWW Image Optimizer,AppSumo,0,https://appsumo.com/products/ewww-image-optimizer/,Live
16938,Nexweave,AppSumo,1,https://appsumo.com/products/nexweave/,Expired
16974,Crello,AppSumo,1,https://appsumo.com/products/crello/,Expired
16994,Plutio,AppSumo,1,https://appsumo.com/products/plutio/,Expired
17024,Play.ht,AppSumo,1,https://appsumo.com/products/playht/,Expired
17121,Consolto,AppSumo,1,https://appsumo.com/products/consolto/,Expired
17197,Botsify,AppSumo,1,https://appsumo.com/products/botsify/,Expired
17210,Connected,AppSumo,1,https://appsumo.com/products/connected/,Expired
17225,LeadScripts+,AppSumo,1,https://appsumo.com/products/leadscripts-plus-exclusive/,Expired
17443,Peppertype AI,AppSumo,0,https://appsumo.com/products/peppertypeai/,Live
17485,CrawlQ,AppSumo,0,https://appsumo.com/products/crawlq/,Live
17498,Interviewer.AI,AppSumo,1,https://appsumo.com/products/interviewerai/,Expired
17510,Reditus,AppSumo,1,https://appsumo.com/products/marketplace-reditus/,Expired
17650,WordHero - AI Content Writer,AppSumo,0,https://appsumo.com/products/marketplace-wordhero/,Live
17737,Leadcamp,AppSumo,1,https://appsumo.com/products/leadcamp/,Expired
17825,Konnectzit,AppSumo,0,https://appsumo.com/products/konnectzit/,Live
17899,Acumbamail,AppSumo,0,https://appsumo.com/products/acumbamail/,Live
18057,Ranktracker,AppSumo,0,https://appsumo.com/products/ranktracker/,Live
18070,Pictory,AppSumo,1,https://appsumo.com/products/pictory/,Expired
18306,Picmaker,AppSumo,1,https://appsumo.com/products/picmaker/,Expired
18390,Swipbucket,AppSumo,1,https://appsumo.com/products/swipebucket/,Expired
18425,SOUNDRAW,AppSumo,1,https://appsumo.com/products/soundraw/,Expired
18440,Adriel,AppSumo,1,https://appsumo.com/products/adriel/,Expired
18450,Ranktracker,AppSumo,0,https://appsumo.com/products/ranktracker/,Live
18609,Cuttles,AppSumo,1,https://appsumo.com/products/cuttles/,Expired
19670,Cheat Layer,AppSumo,1,https://appsumo.com/products/cheat-layer-plus-exclusive/,Expired
19683,Formaloo,AppSumo,0,https://appsumo.com/products/formaloo/,Live
19737,SuiteDash,AppSumo,1,https://appsumo.com/products/suitedash/,Expired
19751,Vonza,AppSumo,1,https://appsumo.com/products/vonza/,Expired
19766,Fleeq,AppSumo,1,https://appsumo.com/products/fleeq/,Expired
20342,BackupSheep,AppSumo,1,https://appsumo.com/products/backupsheep/,Expired
20357,Heartbeat,AppSumo,1,https://appsumo.com/products/heartbeat/,Expired
20491,Superdocu,AppSumo,1,https://appsumo.com/products/superdocu/,Expired
20501,Workpark,AppSumo,1,https://appsumo.com/products/workpark/,Expired
20673,Interacty,AppSumo,0,https://appsumo.com/products/interacty/,Live
20733,WP Adminify,AppSumo,1,https://appsumo.com/products/wp-adminify/,Expired
20742,Smartrader,AppSumo,0,https://appsumo.com/products/smartrader/,Live
20787,Luminar AI,AppSumo,1,https://appsumo.com/products/luminar/,Expired
20995,Sniply,AppSumo,1,https://appsumo.com/products/sniply/,Expired
21003,Noota,AppSumo,0,https://appsumo.com/products/noota/,Live
21010,Synthesys,AppSumo,0,https://appsumo.com/products/synthesys/,Live
21018,Taskade,AppSumo,0,https://appsumo.com/products/taskade/,Live
21025,Browse AI,AppSumo,1,https://appsumo.com/products/browse-ai/,Expired
21033,upcoach,AppSumo,1,https://appsumo.com/products/upcoach/,Expired
21059,Baseline,AppSumo,1,https://appsumo.com/products/baseline/,Expired
21068,Appily,AppSumo,1,https://appsumo.com/products/appily/,Expired
21078,Nocode,AppSumo,1,https://appsumo.com/products/nocode/,Expired
21090,TeleportHQ,AppSumo,1,https://appsumo.com/products/teleporthq/,Expired
21100,Kimola Cognitive,AppSumo,1,https://appsumo.com/products/kimola-cognitive/,Expired
21108,Dashed AI,AppSumo,1,https://appsumo.com/products/dashed-ai/,Expired
21143,Cheat Layer,AppSumo,1,https://appsumo.com/products/cheat-layer/,Expired
21152,Albato,AppSumo,1,https://appsumo.com/products/albato/,Expired
21159,Eventin,AppSumo,1,https://appsumo.com/products/eventin/,Expired
21166,Robinize,AppSumo,1,https://appsumo.com/products/robinize/,Expired
21311,Lebesgue,AppSumo,1,https://appsumo.com/products/lebesgue/,Expired
21428,Adline,AppSumo,1,https://appsumo.com/products/adline/,Expired
21435,FeedBlitz,AppSumo,1,https://appsumo.com/products/feedblitz/,Expired
21443,VideoPeel,AppSumo,0,https://appsumo.com/products/videopeel/,Live
21470,ShoutOut,AppSumo,1,https://appsumo.com/products/shoutout/,Expired
21477,Rumble Studio,AppSumo,1,https://appsumo.com/products/rumble-studio/,Expired
21483,Contentrain,AppSumo,0,https://appsumo.com/products/contentrain/,Live
21632,Cogniflow,AppSumo,1,https://appsumo.com/products/cogniflow/,Expired
21640,GetLeadForms,AppSumo,1,https://appsumo.com/products/getleadforms/,Expired
22171,SwiftReply,AppSumo,0,https://appsumo.com/products/swiftreply/,Live
22196,Beatoven.ai,AppSumo,0,https://appsumo.com/products/beatovenai/,Live
22509,Luna,AppSumo,0,https://appsumo.com/products/luna/,Live
22533,WebWave,AppSumo,0,https://appsumo.com/products/webwave/,Live
22548,Heybase,AppSumo,0,https://appsumo.com/products/heybase/,Live
