ID,Title,Sku,Parent Product ID,Product Type,Brand,_seopress_analysis_target_kw,_seopress_titles_title,_wp_page_template,_rh_woo_product_layout
710,Swift Performance,710,0,external,Swte Plugins,Swift Performance Review,"Swift Performance Plugin Features, reviews and Pricing | Appsfomo",default,global
2920,WPForms,2920,0,external,WPForms,WPForms Review,"WPForms Plugin Features, reviews and Pricing | Appsfomo",default,global
2923,Ninja Forms,2923,0,external,Saturday Drive,Ninja Forms Review,"Ninja Forms Plugin Features, reviews and Pricing | Appsfomo",default,global
2924,Gravity forms,2924,0,external,Rocketgenius,Gravity forms Review,"Gravity forms Plugin Features, reviews and Pricing | Appsfomo",default,global
2925,Formidable Forms,2925,0,external,Startegy11,Formidable Forms Review,"Formidable Forms Plugin Features, reviews and Pricing | Appsfomo",default,global
2926,Frontend Publishing Pro,2926,0,external,Khaxan,Frontend Publishing Pro Review,"Frontend Publishing Pro Plugin Features, reviews and Pricing | Appsfomo",default,global
2930,Envira Gallery,2930,0,external,Envira Gallery,Envira Gallery Review,"Envira Gallery Plugin Features, reviews and Pricing | Appsfomo",default,global
2934,Super Forms,2934,0,external,Feeling 4 Design,Super Forms Review,"Super Forms Plugin Features, reviews and Pricing | Appsfomo",default,global
2936,ARForms,2936,0,external,AR Forms,ARForms Review,"ARForms Plugin Features, reviews and Pricing | Appsfomo",default,global
2938,NEX forms,2938,0,external,Basix,NEX forms Review,"NEX forms Plugin Features, reviews and Pricing | Appsfomo",default,global
2940,Eform,2940,0,external,WPQuark,Eform Review,"Eform Plugin Features, reviews and Pricing | Appsfomo",default,global
2944,WonderPlugin,2944,0,external,Magic Hills Pty Ltd,WonderPlugin Review,"WonderPlugin Plugin Features, reviews and Pricing | Appsfomo",default,global
2946,Foo Gallery,2946,0,external,Foo Plugins,Foo Gallery Review,"Foo Gallery Plugin Features, reviews and Pricing | Appsfomo",default,global
2948,NextGEN Gallery,2948,0,external,Imagely,NextGEN Gallery Review,"NextGEN Gallery Plugin Features, reviews and Pricing | Appsfomo",default,global
2952,Awesome Gallery,2952,0,external,Karev,Awesome Gallery Review,"Awesome Gallery Plugin Features, reviews and Pricing | Appsfomo",default,global
2954,Ultimate Membership Pro,2954,0,external,Wpindeed,Ultimate Membership Pro Review,"Ultimate Membership Pro Plugin Features, reviews and Pricing | Appsfomo",default,global
2956,All In One SEO,2956,0,external,All in One SEO Team,All In One SEO Review,"All In One SEO Plugin Features, reviews and Pricing | Appsfomo",default,global
2958,Restrict Content Pro,2958,0,external,Liquid Web,Restrict Content Pro Review,"Restrict Content Pro Plugin Features, reviews and Pricing | Appsfomo",default,global
2962,User Pro,2962,0,external,Deluxe Themes,User Pro Review,"User Pro Plugin Features, reviews and Pricing | Appsfomo",default,global
2964,Keyword Tool,2964,0,external,SEO Review Tools,Keyword Tool Review,"Keyword Tool Plugin Features, reviews and Pricing | Appsfomo",default,global
2966,Visual Composer,2966,0,external,Visual Composer Website Builder,Visual Composer Review,"Visual Composer Plugin Features, reviews and Pricing | Appsfomo",default,global
