"ID","Title","Brand","Product Type","Sku","Parent Product ID","Product Active Installations","Plugin Extensions","Product Addons","Product Author","Product Ease of use","Product Founder","Product Last Updated","Product Licensing Type","Product Marketplace","Type","Product Pricing options","Product Review Date","Product Site Usage","Product Support Duration","Product Support type","Product Team Size","Product Wordpress Compatibility","_seopress_titles_title","_seopress_titles_desc","_seopress_analysis_target_kw"
"2946","Foo Gallery","Foo Plugins","external","2946","0","1000000+","Integrated Bundle","None","Vibrant Web Solutions","Easy","Rohit Jain","1 Month ago","GPL","Own Site","Gallery","Free, Pro at $59","11/26/2020","Single site, Multisite","Community-Free","Support Tickets","30+","Latest","Foo Gallery  Plugin Features, reviews and Pricing | Appsfomo","","Foo Gallery Review"
"2948","NextGEN Gallery","Imagely","external","2948","0","16014678+","Pro Extension","None","Imagely","Moderate","Erick Danzer","2 Month ago","GPL","Own Site","Gallery","Annual subscription","11/26/2020","Single site, Multisite","12 months","Support Tickets","30+","Latest","NextGEN Gallery  Plugin Features, reviews and Pricing | Appsfomo","","NextGEN Gallery Review"
"2950","Justified Image Grid","Belcovio","external","2950","0","10000000+","None","None","Belcovio","Moderate","Belcovio ","2 Month ago","GPL","Codecanyon","Gallery","One-time payment","11/26/2020","Single site","6 months","Support Tickets","10+","Latest","Justified Image Grid  Plugin Features, reviews and Pricing | Appsfomo","","Justified Image Grid Review"
"2952","Awesome Gallery","Karev","external","2952","0","100000+","None","None","Nikolay Karev","Easy","Nikolay Karev","2 Years Ago","GPL","Codecanyon","Gallery","One-time payment","11/27/2020","Single site","6 months","No Support","<5","Wordpress 4.x","Awesome Gallery  Plugin Features, reviews and Pricing | Appsfomo","","Awesome Gallery Review"
"2954","Ultimate Membership Pro","Wpindeed","external","2954","0","20000+","50+ Extensions","None","Wpindeed","Easy","WpIndeed","1 Month ago","GPL","Codecanyon","Membership ","One-time payment","11/27/2020","Single site","6 months","Support Tickets","50+","Latest","Ultimate Membership Pro  Plugin Features, reviews and Pricing | Appsfomo","","Ultimate Membership Pro Review"
"2958","Restrict Content Pro","Liquid Web","external","2958","0","5000","20+ Extensions","20+","Liquid Web","Easy","Matthew Hill","2 Month ago","GPL","Own Site","Membership ","Annual subscription","11/26/2020","Single site, Multisite","12 months","Support Tickets","50+","Latest","Restrict Content Pro  Plugin Features, reviews and Pricing | Appsfomo","","Restrict Content Pro Review"
"2960","SEO by Squirrly","Squirrly","external","2960","0","2500000+","None","None","Squirrly","Easy","Florin Muresan","1 Month ago","GPL","Own Site","SEO","Monthly payment","11/26/2020","Single site","6 months","Support Tickets","30+","Latest","SEO by Squirrly  Plugin Features, reviews and Pricing | Appsfomo","","SEO by Squirrly Review"
"2962","User Pro","Deluxe Themes","external","2962","0","20000+","10+","None","Deluxe Themes","Easy","-","3 Month ago","GPL","Codecanyon","Membership ","Annual subscription","11/27/2020","Single site","6 months","Support Tickets","10+","Latest","User Pro  Plugin Features, reviews and Pricing | Appsfomo","","User Pro Review"
"2964","Keyword Tool","SEO Review Tools","external","2964","0","4500000","10+","None","SEO Review Tools","Easy","Jasja ter horst","1 Year ago","GPL","Wordpress.org","SEO","Free","11/28/2020","Unlimited","Life time","Forum","10+","Latest","Keyword Tool  Plugin Features, reviews and Pricing | Appsfomo","","Keyword Tool Review"
"2966","Visual Composer","Visual Composer Website Builder","external","2966","0","1000000+","50+","10+","Visual Composer Website Builder","Easy","Michael Makijenko","1 Month ago","GPL","Default","Page Builder","Annual subscription","11/29/2020","Single site, Multisite","1 Year","Support Tickets","50+","Latest","Visual Composer  Plugin Features, reviews and Pricing | Appsfomo","","Visual Composer Review"
