"ID","Title","Brand","Product Type","Sku","Parent Product ID","Product Active Installations","Product Addons","Product Author","Product Ease of use","Product Founder","Product Last Updated","Product Licensing Type","Product Marketplace","Product Niche","Product Pricing options","Product Review Date","Product Site Usage","Product Support Duration","Product Support type","Product Team Size","Product Wordpress Compatibility","_seopress_titles_title","_seopress_analysis_target_kw"
"2968","Cornerstone","Themco","external","2968","0","3510","None","Themco","Easy","Matt Frost","8 Months","GPL","Code Canyon","Page Builder","Annual subscription","11/26/2020","Single Site","6 months","Forum, Support Ticket","8","Latest","Cornerstone  Plugin Features, reviews and Pricing | Appsfomo","Cornerstone Review"
"2972","Site Origin","Site Origin","external","2972","0","10000","20 Premium Addons","Site Origin","Easy","Greg Priday","3 Months Ago","GPL","Own Site","Page Builder","Annual subscription,Liftime Subscriptions","11/25/2020"," Single Site, 5 Sites, Unlimited Sites","12 months","Forum, Email Chat","5","Latest","Site Origin  Plugin Features, reviews and Pricing | Appsfomo","Site Origin Review"
"2974","Beaver Builder","Breaver Builder","external","2974","0","250000","10 Addons","Breaver Builder","Easy","Robby McCullough","20 Days Ago","GPL","Own Site","Page Builder","Annual subscription","11/26/2020","Unlimited Sites","12 months","Community Forum, FAQ","5","Latest","Beaver Builder  Plugin Features, reviews and Pricing | Appsfomo","Beaver Builder Review"
"3075","Javo","Javothemes","external","3075","0","6996","3  Addons","Javothemes","Easy","--","3 Months Ago","GPL","Themeforest","Directory and listings","One-time payment","11/26/2020","Single Site","6 months","Support Ticket","5","Latest","Javo  Plugin Features, reviews and Pricing | Appsfomo","Javo Review"
"3313","Eduma","ThimPress","external","3313","0","27904","3 addons","ThimPress","Easy","ThimPress","1 day ago","GPL","Themeforest","Education","One-time payment","12/2/2020","Single Site","6 months","Support Ticket, Forum","10","Latest","Eduma  Plugin Features, reviews and Pricing | Appsfomo","Eduma Review"
"3315","Buzzler","Sitemile","external","3315","0","1200","2 addons","Sitemile","Easy","SiteMile Re","1 Week ago","GPL","Own Site","Directory and listings","One-time payment","12/2/2020","Single Site, Multipke Site","12 months","Support Ticket, Forum","10","Latest","Buzzler  Plugin Features, reviews and Pricing | Appsfomo","Buzzler Review"
"3317","Listify","Astoundify","external","3317","0","17904"," 3 addons","Astoundify","Easy","Adam Pickering ","1 Month ago","GPL","Themeforest","Directory and listings","One-time payment","12/2/2020","Single Site","6 months","Support Ticket, Forum","12","Latest","Listify  Plugin Features, reviews and Pricing | Appsfomo","Listify Review"
"3319","Kleo","SeventhQueen","external","3319","0","21283","None","SeventhQueen","Easy","SeventhQueen","1 Month ago","GPL","themeforest","Buddypress","One-time payment","12/3/2020","Single Site","6 months","Support Ticket, Forum","10","Latest","Kleo  Plugin Features, reviews and Pricing | Appsfomo","Kleo Review"
"3321","Consulting","StylemixThemes","external","3321","0","19524","2 addons","StylemixThemes","Easy","Igor Ligay","2 Days ago","GPL","Themeforest","Finance","One-time payment","12/3/2020","Single Site","6 months","Support Ticket, Forum","11","Latest","Consulting  Plugin Features, reviews and Pricing | Appsfomo","Consulting Review"
"3323","WordPress Project Bidding : Sitemile","Sitemile","external","3323","0","1000","3 addons","Sitemile","Easy","SiteMile Re","1 Week ago","GPL","Own Site","Project Bidding","One-time payment","12/3/2020","Single Site, Multipke Site","12 months","Support Ticket, Forum","10","Latest","WordPress Project Bidding : Sitemile  Plugin Features, reviews and Pricing | Appsfomo","WordPress Project Bidding : Sitemile Review"
