ID,Title,Post Type,Sku,Product Type,Parent Product ID,Brand,_seopress_analysis_target_kw,_seopress_titles_title,_wp_page_template,_rh_woo_product_layout,Product Founder/CEO
716,Divi,product,716,external,0,Elegant Themes,Divi Theme Review,"Divi Theme Features, Reviews and Pricing | Appsfomo",default,global,Nick Roach
1522,Astra,product,1522,external,0,Brainstorm Force,Astra Theme Review,"Astra Theme Features, Reviews and Pricing | Appsfomo",default,global,Brainstorm Force
2968,Cornerstone,product,2968,external,0,Cornerstone,Cornerstone Theme Review,"Cornerstone Theme Features, Reviews and Pricing | Appsfomo",default,global,-
2974,Beaver Builder,product,2974,external,0,Beaver Builder,Beaver Builder Theme Review,"Beaver-Builder Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3075,Javo,product,3075,external,0,Javo,Javo Theme Review,"Javo Theme Features, Reviews and Pricing | Appsfomo ",default,global,-
3291,Theme X,product,3291,external,0,Theme X,Theme X Theme Review,"Theme X Theme Features, Reviews and Pricing | Appsfomo",default,global,Kyle
3293,Newspaper,product,3293,external,0,tagDiv,Newspaper Theme Review,"newspaper Avada Theme Features, Reviews and Pricing | Appsfomo",default,global,Amit Malewar
3297,The7,product,3297,external,0,Myroslav,The7 Theme Review," The 7 Theme Features, Reviews and Pricing | Appsfomo",default,global,Myroslav
3299,Sage,product,3299,external,0,HighGrade,Sage Theme Review,"Sage Theme Features, Reviews and Pricing | Appsfomo",default,global,HighGrade
3301,Jupiter,product,3301,external,0,Rouzbeh Firouzmand,Jupiter Theme Review,"jupiter Theme Features, Reviews and Pricing | Appsfomo",default,global,Rouzbeh Firouzmand
3307,Publisher,product,3307,external,0,BetterStudio,Publisher Theme Review,"Publisher Theme - Features, Reviews and Pricing | Appsfomo",default,global,BetterStudio
3309,Rehub,product,3309,external,0,Sizam,Rehub Theme Review,"Rehub Theme Features, Reviews and Pricing | Appsfomo",default,global,Sizam
3311,Photography,product,3311,external,0,Katie Stricker,Photography Theme Review,"Photography Theme Features, Reviews and Pricing | Appsfomo",default,global,Katie Stricker
3313,Eduma,product,3313,external,0,Eduma,Eduma Theme Review,"Eduma Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3315,Buzzler,product,3315,external,0,Buzzler,Buzzler Theme Review,"Buzzler Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3317,Listify,product,3317,external,0,Listify,Listify Theme Review,"listify Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3319,Kleo,product,3319,external,0,Kleo,Kleo Theme Review,"Kleo Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3321,Consulting,product,3321,external,0,Consulting,Consulting Theme Review,"Consulting Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3323,WordPress Project Bidding : Sitemile,product,3323,external,0,WordPress Project Bidding : Sitemile,WordPress Project Bidding : Sitemile Theme Review,"WordPress Project Bidding : Sitemile Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3325,Enfold,product,3325,external,0,Kriesi,Enfold Theme Review,"Enfold Theme Features, Reviews and Pricing | Appsfomo",default,global,Christian Budschedl
3327,Be Theme,product,3327,external,0,Be Theme,Be Theme Theme Review,"Be Theme Features, Reviews and Pricing | Appsfomo",default,global,Margarita Nazarova
3329,Walleto,product,3329,external,0,Walleto,Walleto Theme Review,"Walleto Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3331,Makery,product,3331,external,0,Makery,Makery Theme Review,"Makery Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3333,Jobify,product,3333,external,0,Jobify,Jobify Theme Review,"Jobify Theme Features, Reviews and Pricing | Appsfomo",default,global,Adam Pickering
3335,Listable,product,3335,external,0,Listable,Listable Theme Review,"Listable Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3337,Motors,product,3337,external,0,Motors,Motors Theme Review,"Motors Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3341,WYZI- Business Finder,product,3341,external,0,WYZI- Business Finder,WYZI- Business Finder Theme Review,"WYZI Business Finder Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3343,Real Places,product,3343,external,0,Real Places,Real Places Theme Review,"Real Places Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3345,ApartmentWP,product,3345,external,0,ApartmentWP,ApartmentWP Theme Review,"ApartmentWP Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3347,Full House,product,3347,external,0,Full House,Full House Theme Review,"Full House Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3349,Residence,product,3349,external,0,Residence,Residence Theme Review,"Residence Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3351,WP Rentals,product,3351,external,0,Wp Estate,WP Rentals Theme Review,"WP Rentals Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3353,Real Homes,product,3353,external,0,Real Homes,Real Homes Theme Review,"Real Homes Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3355,ROSA,product,3355,external,0,ROSA,ROSA Theme Review,"ROSA Theme Features, Reviews and Pricing | Appsfomo",default,global,Vlad Olaru
3357,Pronto,product,3357,external,0,Pronto,Pronto Theme Review,"Pronto Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3359,Business Finder,product,3359,external,0,Business Finder,Business Finder Theme Review,"Business Finder Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3361,Sweet Date,product,3361,external,0,Sweet Date,Sweet Date Theme Review,"sweet date Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3363,Mingle,product,3363,external,0,Mingle,Mingle Theme Review,"Mingle Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3365,Woffice,product,3365,external,0,Woffice,Woffice Theme Review,"Woffice Theme Features, Reviews and Pricing | Appsfomo",default,global,Baptiste Debever
3367,Buddy,product,3367,external,0,Buddy,Buddy Theme Review,"buddy Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3369,Socialize,product,3369,external,0,Socialize,Socialize Theme Review,"Socialize Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3371,WPLMS,product,3371,external,0,WPLMS,WPLMS Theme Review,"WPLMS Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3373,EducationPress,product,3373,external,0,EducationPress,EducationPress Theme Review,"EducationPress Theme Features, Reviews and Pricing | Appsfomo",default,global,Themecycle
3375,Academy,product,3375,external,0,Academy,Academy Theme Review,"Academy Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3377,University,product,3377,external,0,University,University Theme Review,"University Theme Features, Reviews and Pricing | Appsfomo",default,global,Andy Le
3379,LMS,product,3379,external,0,LMS,LMS Theme Review,"LMS Theme Features, Reviews and Pricing | Appsfomo",default,global,Yoga Nand
3381,Porto,product,3381,external,0,Porto,Porto Theme Review,"Porto Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3383,Blaszok,product,3383,external,0,Blaszok,Blaszok Theme Review,"Blaszok Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3387,Atelier,product,3387,external,0,Atelier,Atelier Theme Review,"Atelier Theme Features, Reviews and Pricing | Appsfomo",default,global,-
3389,Oxygen,product,3389,external,0,Oxygen,Oxygen Theme Review,"Oxygen Theme Features, Reviews and Pricing | Appsfomo",default,global,Arlind
3391,Flatsome,product,3391,external,0,Flatsome,Flatsome Theme Review,"Flatsome Theme Features, Reviews and Pricing | Appsfomo",default,global,Tommy J Vedvik
3393,Shopkeeper,product,3393,external,0,Shopkeeper,Shopkeeper Theme Review,"Shopkeeper Theme Features, Reviews and Pricing | Appsfomo",default,global,Getbowtied
3395,The Retailer,product,3395,external,0,The Retailer,The Retailer Theme Review,"The Retailer Theme Features, Reviews and Pricing | Appsfomo",default,global,-
