Title,Sku,ID,Post Type,Product Type,Parent Product ID,Sale Price,Featured Image,Regular Price,Price Suffix,Brand,Product categories,rank_math_seo_score,Permalink,External URL,Button Text,Date,Review Date,Author,Company Name,Marketplace,Free Verison,Initial Release,Active Installations,WP.org Ratings,Niche,Free Templates,Premuim Templates,Unique Theme Features,eCommerce Support,Supported Page Builders,One click demo,Multi lang support,Pricing options,Money-Back Guarantee,Appsfomo Ratings,Site Usage,Support System,Competitor,Affiliate Program
Divi Theme,,716,product,external,0,,Done,70,Yearly,Elegant Themes,Wordpress Themes>Multipurpose,,https://appsfomo.com/reviews/divi-theme/,https://www.elegantthemes.com/gallery/divi/,Buy Now,22-01-2018,01-07-2020,Nick Roach,Elegant Themes,Own Site,Not Available,2009,100k +,,Modern,Less than 5,200+,Live Page Builder,EDD|WooCommerce,Divi,Yes,WPML,"Yearly,One-time Payment",30 Days,,Unlimited Sites,"Email,Support Ticket","Astra,Avada",Yes
WPastra Theme,,1522,product,external,0,47,Done,47,Yearly,Brainstorm Force,Wordpress Themes>Multipurpose,,https://appsfomo.com/reviews/wpastra-theme/,https://wpastra.com/,Buy Now,24-12-2019,29-06-2020,Sujay Pawar,Brainstorm Force,Own Site,Available on WP.org ,2009,1M +,5,Modern,50+,200+,Light Weight,EDD|WooCommerce,"Gutenberg,Elementor,Beaver Builder",Yes,WPML,"Yearly,One-time Payment",14 Days,,Unlimited Sites,"Email,Support Ticket,Live Chat","Generatepress,Genesis,OceanWP",Yes
Theme X,,3291,product,external,0,,Done,79,One-Time,Themeco,Wordpress Themes>Multipurpose,,https://appsfomo.com/reviews/x-theme/,https://1.envato.market/YgqmWm,Buy Now,13-07-2020,14-10-2020,N/A,Themeco,Themeforest,Not Available,2013,100k +,,Multi-Purpose,10+,50+,Customizability,,Custom,Yes,WPML,One-time Payment,N/A,,1 Site,Support Ticket,The7,No
Newspaper,,3293,product,external,0,,Done,39,One-Time,TagDiv,Wordpress Themes>Blog / Magazine,,https://appsfomo.com/reviews/newspaper/,https://1.envato.market/MXDda3,Buy Now,18-07-2020,Default,Radu Oprea,TagDiv,Themeforest,Not Available,2016,100k +,,Blog|Magazine,None,50+,Made for News & Magazine Sites,,"Custom,Gutenberg",Yes,WPML,One-time Payment,N/A,,1 Site,Support Ticket,Publisher,No
The7,,3297,product,external,0,,Done,39,One-Time,Dream Theme,Wordpress Themes>Corporate,,https://appsfomo.com/reviews/the7/,https://1.envato.market/KeqdkA,Buy Now,06-07-2020,Default,Myroslav,Dream Theme,Themeforest,Not Available,2012,100k +,,Business,None,100+,Best for Woocommerce ,,"Elementor,WP Bakery",Yes,WPML,One-time Payment,N/A,,1 Site,Support Ticket,Theme X,No
Jupiter,,3301,product,external,0,,Done,59,One-Time,Artbees Themes,Wordpress Themes>Blog / Magazine,,https://appsfomo.com/reviews/jupiter/,https://1.envato.market/DVbdDo,Buy Now,12-07-2020,14-10-2020,Maziar Firuzmand.,ArtBees,Themeforest,Not Available,2018,100k +,,Multi-Purpose,None,200+,Woocommerce Customization,,"Gutenberg,Elementor",Yes,WPML,One-time Payment,N/A,,1 Site,Support Ticket,"Astra,Avada",No
Publisher,,3307,product,external,0,,Done,69,Yearly,BetterStudio,Wordpress Themes>Blog / Magazine,,https://appsfomo.com/reviews/publisher/,https://betterstudio.com/,Buy Now,02-07-2020,20-11-2020,Julia Chau,BetterStudio,"Own Site, Themeforest",Not Available,2020,10k +,,Blog|Magazine,None,50+,"Theme For
Magazines, Newspapers, and Blogs",,Custom,Yes,WPML,Yearly,14 Days,,"3 Sites,10+ Sites","Email,Support Ticket,Live Chat",Newspaper,Yes
Rehub,,3309,product,external,0,,Done,41,One-Time,Sizam Designs,Wordpress Themes>Blog / Magazine,,https://appsfomo.com/reviews/rehub/,https://1.envato.market/5bM0O9,Buy Now,18-07-2020,Default,N/A,Sizam Designs,Themeforest,Not Available,N/A,10k +,,E-commerce|Multi-Purpose,None,10+,Best for Affiliates,,"Gutenberg,Elementor",Yes,WPML,One-time Payment,N/A,,1 Site,Support Ticket,Blurb ,No
Eduma,,3313,product,external,0,,Done,48,One-Time,ThimPress,Wordpress Themes>Education &amp; Non profit,,https://appsfomo.com/reviews/eduma/,https://themeforest.net/item/education-wordpress-theme-education-wp/14058034,Buy Now,25-07-2020,,Tony Nguyen,ThimPress,Themeforest,Not Available,2014,10k +,,Education,None,20+,"For LMS, Training Center, Courses Hub",,"Gutenberg,Elementor",Yes,WPML,One-time Payment,N/A,,1 Site,Support Ticket,EducationPress,Yes
Enfold,,3325,product,external,0,,Done,59,One-Time,Kriesi,Wordpress Themes>Blog / Magazine,,https://appsfomo.com/reviews/enfold/,https://1.envato.market/x926AA,Buy Now,31-07-2020,Default,Christian Budschedl,Kriesi,Themeforest,Not Available,2013,100k +,,Multi-Purpose,None,20+,Simple & Minimal,,Custom,Yes,WPML,One-time Payment,N/A,,1 Site,Support Ticket,Be Theme,No
