Title,Sku,ID,Post Type,Product Type,Parent Product ID,Sale Price,Featured Image,Regular Price ($),Price Suffix,Product categories,Brand,rank_math_seo_score,Permalink,External URL,Button Text,Date,Type,Review Date,Author,Company Name,Country,Marketplace,Free Version,Initial Release,Other products,Active Installations,Wp.org Ratings,Product Type,Free Extensions,Premium Extensions,Multi lang support,Pricing options,Past LTD,Money-Back Guarantee,Appsfomo Ratings,Support System,Site Usage,Documentation,Competitor,Affiliate Program
Swift Performance,,710,product,external,0,,Done,50,/Year,Wordpress Plugins>Caching Plugin,SWTE Group Ltd,12,https://appsfomo.com/reviews/swift-performance/,https://swiftperformance.io/?ref=75,Buy Now,22-01-2021,Cache Plugin,March 2023,SWTE Plugins,SWTE Group Ltd,"Ujlengyel, Hungary",Own Site,Available on WP.org ,2015,None,10k +,4.5,Caching and Optimization,None,1 Pro Addon,Yes,Yearly,Yes,14 Days,,"Support Ticket,Social Media","1 Site,5+ Sites,100+ Sites,Unlimited Sites",Good,"WP Rocket,WP Super Cache, W3 Total Cache",Yes
WPForms,,2920,product,external,0,,Done,50,/Year,Wordpress Plugins>Forms &amp; Popups,WPForms LLC,12,https://appsfomo.com/reviews/wpforms/,https://wpforms.com/,Buy Now,10/7/2020,Contact Form,March 2023,Jared Atchison ,WPForms LLC,USA,Own Site,Available on WP.org ,2016,"WP Simple Pay, All in one SEO, OptinMonster, Easy Digital Downloads",5M +,5,,10+ Free Addons,20+ Pro Addons,Yes,Yearly,Yes,14 Days,,"Email,Support Ticket","1 Site,3+ Sites,5+ Sites,Unlimited Sites",Excellent,"Fluent Forms,Caldera Forms",Yes
Ultimate Membership Pro,,2954,product,external,0,24,Done,59, Onetime,Wordpress Plugins>Membership,Ultimate Member Group LTD,12,https://appsfomo.com/reviews/ultimate-membership-pro/,https://codecanyon.net/item/ultimate-membership-pro-wordpress-plugin/12159253,Buy Now,29-07-2020,Membership Plugin,March 2023,Alexandru Spinu,Ultimate Member Group LTD,"Glasgow, GB",Codecanyon,Available on Own Site,2015,"Ultimate Affiliate Pro, Ultimate Learning Pro",2M +,4.3,,20+ Free Addons,20+ Pro Addons,Yes,"Yearly,One-time Payment",No,14 Days,,"Email,Live Chat",Unlimited Sites,Excellent,Memberpress,No
All In One SEO,,2956,product,external,0,57,Done,50,/Year,Wordpress Plugins>SEO Plugin,Semper Plugins,11,https://appsfomo.com/reviews/all-in-one-seo/,https://wordpress.org/plugins/all-in-one-seo-pack/,Buy Now,2/7/2020,SEO Plugin and Toolkit,March 2023,Syed Balkhi,Semper Plugins,USA,Own Site,Available on WP.org ,2007,"WP Beginner, Wp Forms, Optin Monster",2M +,4.5,,None,10+ Pro Addons,Yes,Yearly,Yes,14 Days,,"Email,Support Ticket","1 Site,3+ Sites,10+ Sites,100+ Sites",Excellent,"Rankmath,Yoast SEO",Yes
Restrict Content Pro,,2958,product,external,0,,Done,99,/Year,Wordpress Plugins>Membership, StellarWP,12,https://appsfomo.com/reviews/restrict-content-pro/,https://restrictcontentpro.com/,Buy Now,2/7/2020,Membership Plugin,March 2023,Israel Barragan, StellarWP,USA,Own Site,Available on WP.org ,2010,"iThemes, Kadence, LearnDash,Give WP",10k +,3,,None,20+ Pro Addons,Yes,Yearly,Yes,N/A,,"Email,Support Ticket","1 Site,5+ Sites,Unlimited Sites",Good,Ultimate Tweaker,Yes
Squirrly SEO,,2960,product,external,0,,Done,72,/Month,Wordpress Plugins>SEO Plugin, Squirrly Limited,64,https://appsfomo.com/reviews/seo-squirrly/,https://www.squirrly.co/wordpress-seo-by-squirrly,Buy Now,6/7/2020,SEO Plugin,March 2023,Florin Muresan, Squirrly Limited,USA,Own Site,Available on WP.org ,2012,"Hide My WP Ghost, StarBox Pro, Squirrlly Social",2M +,4.5,,None,10+ Pro Addons,Yes,Monthly,Yes,N/A,,"Email,Support Ticket","5+ Sites,50+ Sites",Excellent,"SEOpress, Rankmath,Yoast SEO,All in one SEO",Yes
Site Origin,,2972,product,external,0,,Done,29, Onetime,Wordpress Plugins,Site Origin,15,https://appsfomo.com/reviews/site-origin/,https://siteorigin.com/page-builder/,Buy Now,28-07-2020,Powerful Addons,March 2023,Greg Priday,Site Origin,South Africa,Own Site,Available on WP.org ,2011,None,2M +,5,Page Builder,None,20+ Pro Addons,Yes,Yearly,No,30+ Days,,"Email,Support Ticket","1 Site,5+ Sites,Unlimited Sites",Good,"Elementor, Beaver Builder, Brizy",No
Beaver Builder,,2974,product,external,0,,Done,99,/Year,Wordpress Plugins>Page Builder,Fastline Media LLC,12,https://appsfomo.com/reviews/beaver-builder/,https://www.wpbeaverbuilder.com/?utm_expid=82857025-12.lTgZ_x1STniDBYg5MIL3JA.0,Buy Now,9/7/2020,Page Builder,March 2023,Justin Busa,Fastline Media LLC,USA,Own Site,Available on WP.org ,2014,"Beaver Themer Addon, Assistant Pro",2M +,5,Page Builder,None,10+ Pro Addons,Yes,Yearly,Yes,30 Days,,"Email,Live Chat",Unlimited Sites,Excellent,"Elementor, Site Origin, Brizy",Yes
SEMrush,,2982,product,external,0,,Done,120,/Month,Wordpress Plugins>SEO Plugin,SEMrush,12,https://appsfomo.com/reviews/semrush/,https://www.semrush.com/,Buy Now,6/7/2020,Online Marketing,March 2023,Oleg Shchegolev,SEMrush,USA,Own Site,Available on WP.org ,2008,None,5M +,3,,None,None,Yes,"Monthly,Yearly",Yes,7 Days,,"Email,Support Ticket,Forum",Unlimited Sites,Excellent,,Yes
Slider Revolution,,2986,product,external,0,,Done,109, Onetime,Wordpress Plugins>Carousel &amp; Gallery,Themepunch,12,https://appsfomo.com/reviews/slider-revolution/,https://1.envato.market/Eaye1X,Buy Now,5/7/2020,WP Slider,March 2023,Moritz Praetorius,Themepunch,Germany,Codecanyon,Not Available,2011,Essential Grid,5M +,,,None,None,Yes,"Yearly,One-time Payment",No,30+ Days,,"Email,Support Ticket",Unlimited Sites,Excellent,Smart Slider 3,Yes
Ithemes Security Pro,,2993,product,external,0,,Done,99,/Year,Wordpress Plugins>Security Plugin,StellarWP,13,https://appsfomo.com/reviews/ithemes-security-pro/,https://ithemes.com/security/,Buy Now,1/7/2020,Security plugin,March 2023,Timothy Jacobs,iThemes Media LLC,USA,Own Site,Available on WP.org ,2008,"BackupBuddy, iThemes Sync",1M +,4.5,,None,1 Pro Addon,Yes,Yearly,No,30 Days,,"Email,Support Ticket","1 Site,5+ Sites,10+ Sites",Excellent,"Wordfence,Security Ninja",Yes
Wordfence,,3001,product,external,0,,Done,119,/Year,Wordpress Plugins>Security Plugin,Defiant Inc,9,https://appsfomo.com/reviews/wordfence/,https://de.wordpress.org/plugins/wordfence/,Buy Now,2/7/2020,Security plugin,March 2023,Wfryan,Defiant Inc,USA,Own Site,Available on WP.org ,2012,None,2M +,4.6,,None,None,Yes,Yearly,No,N/A,,Support Ticket,1 Site,Good,"iThemes Security,Security Ninja",No
Akismet,,3067,product,external,0,,Done,8.33,/Month,Wordpress Plugins>Security Plugin,Automattic,12,https://appsfomo.com/reviews/akismet/,https://akismet.com/,Buy Now,20-07-2020,Security plugin,March 2023,Matt Mullenweg,Automattic,USA,Own Site,Available on WP.org ,2005,"Jetpack, Crowdsignal",5M +,4.5,,None,None,Yes,"Monthly,Yearly",No,N/A,,Live Chat,"1 Site,Unlimited Sites",Excellent,Anti-spam Pro,No
WPML,,3069,product,external,0,,Done,39,/Year,Wordpress Plugins>Social Network &amp; Translation,onTheGoSystems,12,https://appsfomo.com/reviews/wpml/,https://wpml.org/,Buy Now,22-07-2020,Multilingual Plugin,March 2023,Amir Helzer,onTheGoSystems,Hong Kong,Own Site,Available on WP.org ,2007,"Toolset, Adelance",1M +,4,,None,5+ Pro Addons,Yes,Yearly,No,30 Days,,Forum,"1 Site,3+ Sites,Unlimited Sites",Good,"Polylang, TranslatePress",No
WP Rocket,,3083,product,external,0,,Done,48,/Year,Wordpress Plugins>Caching Plugin,WP Rocket,12,https://appsfomo.com/reviews/wp-rocket/,https://wp-rocket.me/,Buy Now,15-07-2020,Cache Plugin,March 2023,Jonathan Buttigieg,WP Rocket,France,Own Site,Not Available,2013,None,2M +,,,None,None,Yes,Yearly,Yes,14 Days,,Support Ticket,"1 Site,3+ Sites,Unlimited Sites",Good,"Swift Performance, WP Super Cache, W3 Total Cache",Yes
Anti-spam Pro,,3085,product,external,0,,Todo,26,,Wordpress Plugins>Security Plugin,webvitalii,8,https://appsfomo.com/reviews/anti-spam-pro/,https://codecanyon.net/item/antispam-pro/6491169?ref=webvitalii,Buy Now,31-07-2020,,March 2023,,,,Codecanyon,,,,,,,None,None,Yes,,,,,,,,,
W3 Total Cache,,3087,product,external,0,,Done,8.25,/Month,Wordpress Plugins>Caching Plugin,BoldGrid,11,https://appsfomo.com/reviews/w3-total-cache/,https://www.w3-edge.com/products/w3-total-cache,Buy Now,25-07-2020,Cache Plugin,March 2023,Frederick Townes,BoldGrid,"Los Angeles, CA",Own Site,Available on WP.org ,2015,"Total Upkeep, Speed Coach, CRIO",1M +,4.5,,None,5+ Pro Addons,Yes,"Monthly,Yearly",No,30 Days,,Support Ticket,1 Site,Good,"WP Rocket, Swift Performance, WP Super Cache",No
WP Fastest Cache,,3089,product,external,0,,Done,49, Onetime,Wordpress Plugins>Caching Plugin,WP Fastest Cache,12,https://appsfomo.com/reviews/wp-fastest-cache/,https://www.wpfastestcache.com/,Buy Now,22-07-2020,Cache Plugin,March 2023,Emre Vona,WP Fastest Cache,USA,Own Site,Available on WP.org ,2014,None,1M +,5,,None,10+ Pro Addons,Yes,One-time Payment,No,N/A,,Support Ticket,"1 Site,3+ Sites,5+ Sites,10+ Sites",Basic,"WP Rocket, Swift Performance, WP Super Cache",No
WP Cerber,,3103,product,external,0,,Done,39,/Month,Wordpress Plugins>Security Plugin,Cerber Tech Inc,15,https://appsfomo.com/reviews/wp-cerber/,https://wpcerber.com/,Buy Now,10/7/2020,Security plugin,March 2023,Gregory,Cerber Tech Inc,USA,Own Site,Available on Own Site,2017, jetFlow.io automation plugin.,2M +,,,None,1 Pro Addon,Yes,"Half - Yearly,Yearly",No,30 Days,,Support Ticket,"1 Site,5+ Sites,Unlimited Sites",Good,"iThemes Security, Wordfence, Security Ninja",No
Woof,,3111,product,external,0,19,Done,42, Onetime,Wordpress Plugins>E-commerce,PluginUs.Net,11,https://appsfomo.com/reviews/woof/,https://codecanyon.net/item/woof-woocommerce-products-filter/11498469?s_rank=224,Buy Now,16-07-2020,product filter plugin,March 2023,Rostislav Sofronov ,PluginUs.Net,Ukraine,Codecanyon,Available on WP.org ,2012,"WOOT, BEAR, WOOCs",1M +,4.5,,None,1 Pro Addon,Yes,One-time Payment,No,N/A,,Support Ticket,1 Site,Good,Woolentor,No
Hide My WP,,3119,product,external,0,,Done,29, Onetime,Wordpress Plugins>Security Plugin,wpWave,,https://appsfomo.com/reviews/hide-my-wp/,https://codecanyon.net/item/hide-my-wp-amazing-security-plugin-for-wordpress/4177158,Buy Now,27-07-2020,Security plugin,March 2023,N/A,wpWave,N/A,Codecanyon,Available on Own Site,2013,"Detect My WP, Scan My WP",10k +,,,None,1 Pro Addon,Yes,One-time Payment,No,N/A,,"Support Ticket,Forum","1 Site,5+ Sites",Good,WP Hide,No
